id,web_name,team,element_type,goals_scored,assists,penalties_missed,bonus,bps,influence,creativity,threat,minutes
614,Metcalfe,8,3,0,0,0,0,0,0.0,0.0,0.0,0
624,Begovic,8,1,0,0,0,0,0,0.0,0.0,0.0,0
627,Dixon,8,2,0,0,0,0,0,15.4,0.3,0.0,90
651,Mangala,8,3,1,0,0,0,175,172.8,133.5,106.0,1257
678,Bates,8,3,0,0,0,0,0,0.0,0.0,0.0,0
724,Sherif,8,4,0,0,0,0,0,0.0,0.0,0.0,0
742,Moyes,8,5,0,0,0,0,0,0.0,0.0,0.0,0
773,Heath,8,3,0,0,0,0,0,0.0,0.0,0.0,0
775,Coby Ebere,8,3,0,0,0,0,0,0.0,0.0,0.0,0
803,Welch,8,2,0,0,0,0,0,0.0,0.0,0.0,0
10,Nelson,9,3,1,1,0,2,143,131.6,223.9,195.0,483
19,Smith Rowe,9,3,6,3,0,15,449,433.8,422.3,386.0,2036
191,Andersen,9,2,0,0,0,3,306,687.6,99.0,162.0,2673
239,Adama,9,3,2,8,0,8,384,385.4,632.1,426.0,1756
240,Andreas,9,3,2,6,1,2,355,326.6,868.3,300.0,2004
241,Bassey,9,2,1,0,0,0,390,587.2,96.7,157.0,3074
242,Benda,9,1,0,0,0,0,0,0.0,0.0,0.0,0
243,Cairney,9,3,2,0,0,0,192,163.8,213.8,94.0,610
244,Castagne,9,2,0,1,0,0,205,360.4,163.6,123.0,1642
245,Diop,9,2,0,0,0,0,146,257.6,44.7,83.0,1334
246,Harris,9,3,0,0,0,0,0,0.0,0.0,0.0,0
247,Iwobi,9,3,9,6,0,16,704,806.8,922.4,699.0,2981
248,Leno,9,1,0,2,0,5,475,967.0,20.0,0.0,3420
249,Lukić,9,3,0,2,0,1,354,335.6,455.1,119.0,2348
250,Mbabu,9,2,0,0,0,0,0,0.0,0.0,0.0,0
251,Muniz,9,4,8,1,0,14,349,352.4,95.3,508.0,943
252,Raúl,9,4,12,3,0,26,539,612.8,372.2,1018.0,2486
253,Ream,9,2,0,0,0,0,0,0.0,0.0,0.0,0
254,Reed,9,3,0,0,0,0,36,18.6,20.6,33.0,100
255,Robinson,9,2,0,10,0,8,507,922.2,723.4,206.0,3166
256,Stansfield,9,4,0,0,0,0,2,0.0,0.0,0.0,1
257,Tete,9,2,0,2,0,0,207,381.2,192.2,158.0,1773
258,Vinicius,9,4,0,0,0,0,14,4.0,0.0,19.0,13
259,Wilson,9,3,6,2,0,6,329,334.6,310.2,440.0,1148
579,Sessegnon,9,2,4,2,0,5,137,284.0,158.8,227.0,574
586,J.Cuenca,9,2,0,0,0,0,38,81.2,2.3,4.0,349
604,King,9,3,0,0,0,0,30,26.2,45.7,38.0,126
605,Godo,9,3,0,0,0,0,4,3.4,12.0,14.0,21
622,Berge,9,3,0,0,0,2,334,314.4,285.7,51.0,2221
690,Amissah,9,2,0,0,0,0,0,0.0,0.0,0.0,0
753,Silva,9,5,0,0,0,0,0,0.0,0.0,0.0,0
772,Willian,9,3,0,0,0,0,54,36.2,133.3,25.0,251
121,Enciso,10,3,2,3,0,5,224,250.8,268.9,362.0,1155
260,Al-Hamadi,10,4,0,0,0,0,15,5.6,25.7,32.0,125
261,Baggott,10,2,0,0,0,0,0,0.0,0.0,0.0,0
262,Broadhead,10,3,2,0,0,1,137,148.2,111.0,155.0,690
